Team,Nickname,Full Team Name,School,City,State,Enrollment,Conference,Classification,Stadium,Capacity,Surface,Former Conferences,First Played,Joined FBS or FCS,Lat,Long,Bordering_States,State,case_when
Dixie State,Trailblazers,Dixie State Trailblazers,Dixie State University,St. George,UT,,Independent,FCS,Greater Zion Stadium,"10,000",,,2006,,,,"'AZ','CO','ID','NV','NM','WY'","'Dixie State',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
Drake,Bulldogs,Drake Bulldogs,Drake University,Des Moines,IA,,Pioneer,FCS,Drake Stadium,"14,557",,,1893,,41.605011,-93.655019,"'IL','MN','MO','NE','SD','WI'","'Drake',","stateProvince=='IA'&college_state %in% c('IL','MN','MO','NE','SD','WI') ~ 'Bordering State'"
Duquesne,Dukes,Duquesne Dukes,Duquesne University,Pittsburgh,PA,,Northeast,FCS,Arthur J. Rooney Athletic Field,"2,200",,,1891,,40.435616,-79.990009,"'DE','MD','NJ','NY','OH','WV'","'Duquesne',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
East Tennessee State,Buccaneers,East Tennessee State Buccaneers,East Tennessee State University,Johnson City,TN,,Southern,FCS,William B. Greene Jr. Stadium,"7,694",,,2015,,36.303732,-82.370849,"'AL','AR','GA','KY','MS','MO','NC','VA'","'East Tennessee State',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Eastern Illinois,Panthers,Eastern Illinois Panthers,Eastern Illinois University,Charleston,IL,,Ohio Valley,FCS,O’Brien Field,"10,000",,,1899,,39.480486,-88.181141,"'IN','IA','MI','KY','MO','WI'","'Eastern Illinois',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Eastern Kentucky,Colonels,Eastern Kentucky Colonels,Eastern Kentucky University,Richmond,KY,,Ohio Valley,FCS,Roy Kidd Stadium,"20,000",,,1906,,37.734395,-84.297265,"'IL','IN','MO','OH','TN','VA','WV'","'Eastern Kentucky',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
Eastern Washington,Eagles,Eastern Washington Eagles,Eastern Washington University,Cheney,WA,,Big Sky,FCS,Roos Field,"8,600",,,1901,,47.492739,-117.58783,"'ID','OR'","'Eastern Washington',","stateProvince=='WA'&college_state %in% c('ID','OR') ~ 'Bordering State'"
Elon,Phoenix,Elon Phoenix,Elon University,Elon,NC,,CAA,FCS,Rhodes Stadium,"11,250",,,1909,,36.109973,-79.50769,"'GA','SC','TN','VA'","'Elon',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Florida A&M,Rattlers,Florida A&M Rattlers,Florida A&M University,Tallahassee,FL,,MEAC,FCS,Bragg Memorial Stadium,"25,500",,,1907,,30.426057,-84.291789,"'AL','GA'","'Florida A&M',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Fordham,Rams,Fordham Rams,Fordham University,The Bronx,NY,,Patriot,FCS,Coffey Field,"7,000",,,1881,,40.861482,-73.882882,"'CT','MA','NJ','PA','RI','VT'","'Fordham',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Furman,Paladins,Furman Paladins,Furman University,Greenville,SC,,Southern,FCS,Paladin Stadium,"16,000",,,1889,,34.920187,-82.437092,"'GA','NC'","'Furman',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Gardner-Webb,Runnin' Bulldogs,Gardner-Webb Runnin' Bulldogs,Gardner–Webb University,Boiling Springs,NC,,Big South,FCS,Ernest W. Spangler Stadium,"8,500",,,1946,,35.245644,-81.673295,"'GA','SC','TN','VA'","'Gardner-Webb',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Georgetown,Hoyas,Georgetown Hoyas,Georgetown University,"Washington, D.C.",DC,,Patriot,FCS,Cooper Field,"2,500",,,1881,,38.908023,-77.075322,"'KY','MD','NC','TN','WV'","'Georgetown',","stateProvince=='DC'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Grambling,Tigers,Grambling State Tigers,Grambling State University,Grambling,LA,,SWAC,FCS,Eddie Robinson Stadium,"19,600",,,1927,,32.520897,-92.721239,"'AR','MS','TX'","'Grambling',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Hampton,Pirates,Hampton Pirates,Hampton University,Hampton,VA,,Big South,FCS,Armstrong Stadium,"12,000",,,1902,,37.020516,-76.333608,"'KY','MD','NC','TN','WV'","'Hampton',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Harvard,Crimson,Harvard Crimson,Harvard University,Boston,MA,,Ivy,FCS,Harvard Stadium,"30,323",,,1873,,42.3667,-71.126745,"'CT','NY','NH','RI','VT'","'Harvard',","stateProvince=='MA'&college_state %in% c('CT','NY','NH','RI','VT') ~ 'Bordering State'"
Holy Cross,Crusaders,Holy Cross Crusaders,College of the Holy Cross,Worcester,MA,,Patriot,FCS,Fitton Field,"23,500",,,1891,,42.241595,-71.809951,"'CT','NY','NH','RI','VT'","'Holy Cross',","stateProvince=='MA'&college_state %in% c('CT','NY','NH','RI','VT') ~ 'Bordering State'"
Houston Baptist,Huskies,Houston Baptist Huskies,Houston Baptist University,Houston,TX,,Southland,FCS,Husky Stadium,"5,000",,,2013,,29.692622,-95.511489,"'AR','LA','NM','OK'","'Houston Baptist',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Howard,Bison,Howard Bison,Howard University,"Washington, D.C.",DC,,MEAC,FCS,William H. Greene Stadium,"10,000",,,1882,,38.9256,-77.020779,"'KY','MD','NC','TN','WV'","'Howard',","stateProvince=='DC'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Idaho,Vandals,Idaho Vandals,University of Idaho,Moscow,ID,,Big Sky,FCS,Kibbie Dome,"16,000",,,1893,,46.726278,-117.017489,"'MT','NV','OR','UT','WA','WY'","'Idaho',","stateProvince=='ID'&college_state %in% c('MT','NV','OR','UT','WA','WY') ~ 'Bordering State'"
Idaho State,Bengals,Idaho State Bengals,Idaho State University,Pocatello,ID,,Big Sky,FCS,Holt Arena,"12,000",,,1902,,42.870008,-112.428579,"'MT','NV','OR','UT','WA','WY'","'Idaho State',","stateProvince=='ID'&college_state %in% c('MT','NV','OR','UT','WA','WY') ~ 'Bordering State'"
Illinois State,Redbirds,Illinois State Redbirds,Illinois State University,Normal,IL,,Missouri Valley,FCS,Hancock Stadium,"13,391",,,1887,,40.512337,-88.99655,"'IN','IA','MI','KY','MO','WI'","'Illinois State',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Incarnate Word,Cardinals,Incarnate Word Cardinals,University of the Incarnate Word,San Antonio,TX,,Southland,FCS,Gayle and Tom Benson Stadium,"6,000",,,2009,,29.467541,-98.470093,"'AR','LA','NM','OK'","'Incarnate Word',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Indiana State,Sycamores,Indiana State Sycamores,Indiana State University,Terre Haute,IN,,Missouri Valley,FCS,Memorial Stadium,"12,464",,,1895,,39.474948,-87.366894,"'IL','KY','MI','OH'","'Indiana State',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Jackson State,Tigers,Jackson State Tigers,Jackson State University,Jackson,MS,,SWAC,FCS,Mississippi Veterans Memorial Stadium,"60,492",,,1911,,32.329645,-90.179765,"'AL','AR','LA','TN'","'Jackson State',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Jacksonville,Gamecocks,Jacksonville State Gamecocks,Jacksonville State University,Jacksonville,AL,,Ohio Valley,FCS,JSU Stadium,"24,000",,,1904,,33.820363,-85.766284,"'FL','GA','MS','TN'","'Jacksonville',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Jacksonville State,Gamecocks,Jacksonville State Gamecocks,Jacksonville State University,Jacksonville,AL,,Ohio Valley,FCS,JSU Stadium,"24,000",,,1904,,33.820363,-85.766284,"'FL','GA','MS','TN'","'Jacksonville State',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
James Madison,Dukes,James Madison Dukes,James Madison University,Harrisonburg,VA,,CAA,FCS,Bridgeforth Stadium,"24,878",,,1972,,38.435265,-78.872966,"'KY','MD','NC','TN','WV'","'James Madison',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Kennesaw State,Owls,Kennesaw State Owls,Kennesaw State University,Kennesaw,GA,,Big South,FCS,Fifth Third Bank Stadium,"8,318",,,2015,,34.028935,-84.567609,"'AL','FL','NC','SC','TN'","'Kennesaw State',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Lafayette,Leopards,Lafayette Leopards,Lafayette College,Easton,PA,,Patriot,FCS,Fisher Stadium,"13,132",,,1882,,40.700938,-75.210689,"'DE','MD','NJ','NY','OH','WV'","'Lafayette',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Lamar,Cardinals,Lamar Cardinals,Lamar University,Beaumont,TX,,Southland,FCS,Provost Umphrey Stadium,"16,000",,,2009,,30.043222,-94.069933,"'AR','LA','NM','OK'","'Lamar',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Lehigh,Mountain Hawks,Lehigh Mountain Hawks,Lehigh University,Bethlehem,PA,,Patriot,FCS,Goodman Stadium,"16,000",,,1884,,40.589171,-75.355408,"'DE','MD','NJ','NY','OH','WV'","'Lehigh',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
LIU,Sharks,LIU Sharks,Long Island University,Brookville,NY,,Northeast,FCS,Bethpage Federal Credit Union Stadium,"6,000",,,1957,,,,"'CT','MA','NJ','PA','RI','VT'","'LIU',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Maine,Black Bears,Maine Black Bears,University of Maine,Orono,ME,,CAA,FCS,Alfond Stadium,"10,000",,,1892,,44.90513,-68.671657,'NH',"'Maine',",stateProvince=='ME'&college_state %in% c('NH') ~ 'Bordering State'
Marist,Red Foxes,Marist Red Foxes,Marist College,Poughkeepsie,NY,,Pioneer,FCS,Leonidoff Field,"5,000",,,1965,,41.719157,-73.932956,"'CT','MA','NJ','PA','RI','VT'","'Marist',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
McNeese,Cowboys,McNeese State Cowboys,McNeese State University,Lake Charles,LA,,Southland,FCS,Cowboy Stadium,"17,410",,,1950,,30.173518,-93.210309,"'AR','MS','TX'","'McNeese',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Mercer,Bears,Mercer Bears,Mercer University,Macon,GA,,Southern,FCS,Five Star Stadium at the Moye Complex,"10,200",,,2013,,32.826992,-83.652168,"'AL','FL','NC','SC','TN'","'Mercer',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Merrimack,Warriors,Merrimack Warriors,Merrimack College,North Andover,MA,,Northeast,FCS,Duane Stadium,"3,500",,,2023,,,,"'CT','NY','NH','RI','VT'","'Merrimack',","stateProvince=='MA'&college_state %in% c('CT','NY','NH','RI','VT') ~ 'Bordering State'"
Mississippi Valley State,Delta Devils,Mississippi Valley State Delta Devils,Mississippi Valley State University,Itta Bena,MS,,SWAC,FCS,Rice–Totten Stadium,"10,000",,,1953,,33.509448,-90.343211,"'AL','AR','LA','TN'","'Mississippi Valley State',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Missouri State,Bears,Missouri State Bears,Missouri State University,Springfield,MO,,Missouri Valley,FCS,Robert W. Plaster Stadium,"17,500",,,1909,,37.197623,-93.279839,"'AR','IL','IA','KS','KY','NE','OK','TN'","'Missouri State',","stateProvince=='MO'&college_state %in% c('AR','IL','IA','KS','KY','NE','OK','TN') ~ 'Bordering State'"
Monmouth,Hawks,Monmouth Hawks,Monmouth University,West Long Branch,NJ,,Big South,FCS,Kessler Field,"4,000",,,1993,,40.279342,-74.009505,"'DE','NY','PA'","'Monmouth',","stateProvince=='NJ'&college_state %in% c('DE','NY','PA') ~ 'Bordering State'"
Montana,Grizzlies,Montana Grizzlies,University of Montana,Missoula,MT,,Big Sky,FCS,Washington–Grizzly Stadium,"25,200",,,1897,,46.863921,-113.981546,"'ID','ND','SD','WY'","'Montana',","stateProvince=='MT'&college_state %in% c('ID','ND','SD','WY') ~ 'Bordering State'"
Montana State,Bobcats,Montana State Bobcats,Montana State University,Bozeman,MT,,Big Sky,FCS,Bobcat Stadium,"19,000",,,1897,,45.658988,-111.049533,"'ID','ND','SD','WY'","'Montana State',","stateProvince=='MT'&college_state %in% c('ID','ND','SD','WY') ~ 'Bordering State'"
Morehead State,Eagles,Morehead State Eagles,Morehead State University,Morehead,KY,,Pioneer,FCS,Jayne Stadium,"10,000",,,1924,,38.191899,-83.425324,"'IL','IN','MO','OH','TN','VA','WV'","'Morehead State',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
Morgan State,Bears,Morgan State Bears,Morgan State University,Baltimore,MD,,MEAC,FCS,Hughes Stadium,"10,000",,,1897,,39.343892,-76.582893,"'DE','PA','VA','WV'","'Morgan State',","stateProvince=='MD'&college_state %in% c('DE','PA','VA','WV') ~ 'Bordering State'"
Murray State,Racers,Murray State Racers,Murray State University,Murray,KY,,Ohio Valley,FCS,Roy Stewart Stadium,"16,800",,,1924,,36.621351,-88.317364,"'IL','IN','MO','OH','TN','VA','WV'","'Murray State',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
New Hampshire,Wildcats,New Hampshire Wildcats,University of New Hampshire,Durham,NH,,CAA,FCS,Wildcat Stadium,"11,015",,,1893,,43.138545,-70.939211,"'ME','MA','VT'","'New Hampshire',","stateProvince=='NH'&college_state %in% c('ME','MA','VT') ~ 'Bordering State'"
Nicholls,Colonels,Nicholls Colonels,Nicholls State University,Thibodaux,LA,,Southland,FCS,Manning Field at John L. Guidry Stadium,"10,500",,,1972,,29.786663,-90.804532,"'AR','MS','TX'","'Nicholls',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Norfolk State,Spartans,Norfolk State Spartans,Norfolk State University,Norfolk,VA,,MEAC,FCS,"William ""Dick"" Price Stadium","30,000",,,1938,,36.846975,-76.260066,"'KY','MD','NC','TN','WV'","'Norfolk State',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
North Alabama,Lions,North Alabama Lions,University of North Alabama,Florence,AL,,Big South,FCS,Braly Municipal Stadium,"14,215",,,2022,,,,"'FL','GA','MS','TN'","'North Alabama',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
North Carolina A&T,Aggies,North Carolina A&T Aggies,North Carolina A&T State University,Greensboro,NC,,MEAC,FCS,BB&T Stadium,"21,500",,,1901,,36.081377,-79.770091,"'GA','SC','TN','VA'","'North Carolina A&T',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
North Carolina Central,Eagles,North Carolina Central Eagles,North Carolina Central University,Durham,NC,,MEAC,FCS,O'Kelly–Riddick Stadium,"10,000",,,1921,,35.973861,-78.896977,"'GA','SC','TN','VA'","'North Carolina Central',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
North Dakota,Fighting Hawks,North Dakota Fighting Hawks,University of North Dakota,Grand Forks,ND,,MVFC,FCS,Alerus Center,"12,283",,,1894,,47.920198,-97.064729,"'MN','MT','SD'","'North Dakota',","stateProvince=='ND'&college_state %in% c('MN','MT','SD') ~ 'Bordering State'"
North Dakota State,Bison,North Dakota State Bison,North Dakota State University,Fargo,ND,,Missouri Valley,FCS,Fargodome,"19,000",,,1894,,46.902952,-96.80162,"'MN','MT','SD'","'North Dakota State',","stateProvince=='ND'&college_state %in% c('MN','MT','SD') ~ 'Bordering State'"
Northern Arizona,Lumberjacks,Northern Arizona Lumberjacks,Northern Arizona University,Flagstaff,AZ,,Big Sky,FCS,Walkup Skydome,"15,300",,,1915,,35.180514,-111.652843,"'CA','CO','NV','NM','UT'","'Northern Arizona',","stateProvince=='AZ'&college_state %in% c('CA','CO','NV','NM','UT') ~ 'Bordering State'"
Northern Colorado,Bears,Northern Colorado Bears,University of Northern Colorado,Greeley,CO,,Big Sky,FCS,Nottingham Field,"8,533",,,1892,,40.403328,-104.705134,"'AZ','KS','NE','NM','OK','UT','WY'","'Northern Colorado',","stateProvince=='CO'&college_state %in% c('AZ','KS','NE','NM','OK','UT','WY') ~ 'Bordering State'"
Northern Iowa,Panthers,Northern Iowa Panthers,University of Northern Iowa,Cedar Falls,IA,,Missouri Valley,FCS,UNI-Dome,"16,000",,,1895,,42.515688,-92.467267,"'IL','MN','MO','NE','SD','WI'","'Northern Iowa',","stateProvince=='IA'&college_state %in% c('IL','MN','MO','NE','SD','WI') ~ 'Bordering State'"
Northwestern State,Demons,Northwestern State Demons,Northwestern State University,Natchitoches,LA,,Southland,FCS,Harry Turpin Stadium,"15,971",,,1907,,31.747518,-93.096089,"'AR','MS','TX'","'Northwestern State',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Pennsylvania,Quakers,Penn Quakers,University of Pennsylvania,Philadelphia,PA,,Ivy,FCS,Franklin Field,"52,593",,,1876,,39.950044,-75.189912,"'DE','MD','NJ','NY','OH','WV'","'Pennsylvania',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Portland State,Vikings,Portland State Vikings,Portland State University,Portland,OR,,Big Sky,FCS,Providence Park,"19,566",,,1947,,45.52153,-122.691795,"'CA','ID','NV','WA'","'Portland State',","stateProvince=='OR'&college_state %in% c('CA','ID','NV','WA') ~ 'Bordering State'"
Prairie View,Panthers,Prairie View A&M Panthers,Prairie View A&M University,Prairie View,TX,,SWAC,FCS,Panther Stadium,"15,000",,,1906,,30.091192,-95.99426,"'AR','LA','NM','OK'","'Prairie View',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Presbyterian,Blue Hose,Presbyterian Blue Hose,Presbyterian College,Clinton,SC,,Independent,FCS,Bailey Memorial Stadium,"6,500",,,1913,,34.461632,-81.861429,"'GA','NC'","'Presbyterian',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Presbyterian College,Blue Hose,Presbyterian Blue Hose,Presbyterian College,Clinton,SC,,Independent,FCS,Bailey Memorial Stadium,"6,500",,,1913,,34.461632,-81.861429,"'GA','NC'","'Presbyterian College',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Princeton,Tigers,Princeton Tigers,Princeton University,Princeton,NJ,,Ivy,FCS,Princeton University Stadium,"27,800",,,1869,,40.345762,-74.649978,"'DE','NY','PA'","'Princeton',","stateProvince=='NJ'&college_state %in% c('DE','NY','PA') ~ 'Bordering State'"
Rhode Island,Rams,Rhode Island Rams,University of Rhode Island,Kingston,RI,,CAA,FCS,Meade Stadium,"5,180",,,1895,,41.488035,-71.534773,"'CT','MA','NY'","'Rhode Island',","stateProvince=='RI'&college_state %in% c('CT','MA','NY') ~ 'Bordering State'"
Richmond,Spiders,Richmond Spiders,University of Richmond,Richmond,VA,,CAA,FCS,E. Claiborne Robins Stadium,"8,400",,,1881,,37.580895,-77.536835,"'KY','MD','NC','TN','WV'","'Richmond',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Robert Morris,Colonials,Robert Morris Colonials,Robert Morris University,Moon Township,PA,,Northeast,FCS,Joe Walton Stadium,"3,000",,,1994,,40.521199,-80.216245,"'DE','MD','NJ','NY','OH','WV'","'Robert Morris',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Sacramento State,Hornets,Sacramento State Hornets,"California State University, Sacramento",Sacramento,CA,,Big Sky,FCS,Hornet Stadium,"21,195",,,1954,,38.555673,-121.422955,"'AZ','NV','OR'","'Sacramento State',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
Sacred Heart,Pioneers,Sacred Heart Pioneers,Sacred Heart University,Fairfield,CT,,Northeast,FCS,Campus Field,"4,000",,,1991,,41.219304,-73.245951,"'MA','NY','RI'","'Sacred Heart',","stateProvince=='CT'&college_state %in% c('MA','NY','RI') ~ 'Bordering State'"
Sam Houston State,Bearkats,Sam Houston State Bearkats,Sam Houston State University,Huntsville,TX,,Southland,FCS,Bowers Stadium,"14,000",,,1912,,30.713941,-95.541984,"'AR','LA','NM','OK'","'Sam Houston State',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Samford,Bulldogs,Samford Bulldogs,Samford University,Homewood,AL,,Southern,FCS,Seibert Stadium,"6,700",,,1902,,33.463291,-86.795214,"'FL','GA','MS','TN'","'Samford',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
San Diego,Toreros,San Diego Toreros,University of San Diego,San Diego,CA,,Pioneer,FCS,Torero Stadium,"6,000",,,1956,,32.77306,-117.183719,"'AZ','NV','OR'","'San Diego',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
South Carolina State,Bulldogs,South Carolina State Bulldogs,South Carolina State University,Orangeburg,SC,,MEAC,FCS,Oliver C. Dawson Stadium,"22,000",,,1906,,33.498624,-80.844656,"'GA','NC'","'South Carolina State',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
South Dakota,Coyotes,South Dakota Coyotes,University of South Dakota,Vermillion,SD,,Missouri Valley,FCS,DakotaDome,"10,000",,,1889,,42.791139,-96.927843,"'IA','MN','MT','NE','ND','WY'","'South Dakota',","stateProvince=='SD'&college_state %in% c('IA','MN','MT','NE','ND','WY') ~ 'Bordering State'"
South Dakota State,Jackrabbits,South Dakota State Jackrabbits,South Dakota State University,Brookings,SD,,Missouri Valley,FCS,Dana J. Dykhouse Stadium,"19,340",,,1889,,44.321002,-96.780153,"'IA','MN','MT','NE','ND','WY'","'South Dakota State',","stateProvince=='SD'&college_state %in% c('IA','MN','MT','NE','ND','WY') ~ 'Bordering State'"
Southeast Missouri State,Redhawks,Southeast Missouri State Redhawks,Southeast Missouri State University,Cape Girardeau,MO,,Ohio Valley,FCS,Houck Stadium,"11,015",,,1902,,37.309569,-89.531165,"'AR','IL','IA','KS','KY','NE','OK','TN'","'Southeast Missouri State',","stateProvince=='MO'&college_state %in% c('AR','IL','IA','KS','KY','NE','OK','TN') ~ 'Bordering State'"
Southeastern Louisiana,Lions,Southeastern Louisiana Lions,Southeastern Louisiana University,Hammond,LA,,Southland,FCS,Strawberry Stadium,"7,408",,,1930,,30.511026,-90.468567,"'AR','MS','TX'","'Southeastern Louisiana',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Southern,Jaguars,Southern Jaguars,Southern University,Baton Rouge,LA,,SWAC,FCS,A. W. Mumford Stadium,"28,500",UBU Sports Intensity S5-M,,1915,,30.521968,-91.189485,"'AR','MS','TX'","'Southern',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Southern Illinois,Salukis,Southern Illinois Salukis,Southern Illinois University Carbondale,Carbondale,IL,,Missouri Valley,FCS,Saluki Stadium,"15,276",,,1904,,37.70862,-89.216201,"'IN','IA','MI','KY','MO','WI'","'Southern Illinois',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Southern Utah,Thunderbirds,Southern Utah Thunderbirds,Southern Utah University,Cedar City,UT,,Big Sky,FCS,Eccles Coliseum,"8,500",,,1929,,37.675762,-113.076998,"'AZ','CO','ID','NV','NM','WY'","'Southern Utah',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
St Francis (PA),Red Flash,Saint Francis Red Flash,Saint Francis University,Loretto,PA,,Northeast,FCS,DeGol Field,"3,500",,,1909,,40.506243,-78.637353,"'DE','MD','NJ','NY','OH','WV'","'St Francis (PA)',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Stephen F. Austin,Lumberjacks,Stephen F. Austin Lumberjacks,Stephen F. Austin State University,Nacogdoches,TX,,Southland,FCS,Homer Bryce Stadium,"15,000",,,1923,,31.62572,-94.644406,"'AR','LA','NM','OK'","'Stephen F. Austin',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Stetson,Hatters,Stetson Hatters,Stetson University,DeLand,FL,,Pioneer,FCS,Spec Martin Municipal Stadium,"6,000",,,1901,,29.020065,-81.299994,"'AL','GA'","'Stetson',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Stony Brook,Seawolves,Stony Brook Seawolves,Stony Brook University,Stony Brook,NY,,CAA,FCS,Kenneth P. LaValle Stadium,"12,300",,,1969,,40.918884,-73.124295,"'CT','MA','NJ','PA','RI','VT'","'Stony Brook',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Tarleton State,Texans,Tarleton State Texans,Tarleton State University,Stephenville,TX,,Independent,FCS,Memorial Stadium,"9,000",,,1904,,,,"'AR','LA','NM','OK'","'Tarleton State',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Tennessee State,Tigers,Tennessee State Tigers,Tennessee State University,Nashville,TN,,Ohio Valley,FCS,Nissan Stadium,"68,798",,,1916,,36.166466,-86.771281,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Tennessee State',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Tennessee Tech,Golden Eagles,Tennessee Tech Golden Eagles,Tennessee Technological University,Cookeville,TN,,Ohio Valley,FCS,Tucker Stadium,"16,500",,,1917,,36.178111,-85.506166,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Tennessee Tech',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Texas Southern,Tigers,Texas Southern Tigers,Texas Southern University,Houston,TX,,SWAC,FCS,BBVA Stadium,"22,039",,,1947,,29.752236,-95.352222,"'AR','LA','NM','OK'","'Texas Southern',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
The Citadel,Bulldogs,The Citadel Bulldogs,"The Citadel, The Military College of South Carolina",Charleston,SC,,Southern,FCS,Johnson Hagood Stadium,"13,800",,,1905,,32.793741,-79.955856,"'GA','NC'","'The Citadel',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Towson,Tigers,Towson Tigers,Towson University,Towson,MD,,CAA,FCS,Johnny Unitas Stadium,"11,000",,,1968,,39.388537,-76.615944,"'DE','PA','VA','WV'","'Towson',","stateProvince=='MD'&college_state %in% c('DE','PA','VA','WV') ~ 'Bordering State'"
