ID,Ranking,Name,Height in inches,wt in lbs,Hometown2,State2,Position,Rating,Stars,College,College lean,Conference,Committed,Committed to,pos_group
2021_231,154,Kendrick Blackshire,74,250,Duncanville  TX,TX,ILB,0.9329,4,Alabama89%,Alabama,SEC,Not Committed,,LB
2021_194,155,Jonathan Flowe,73,200,Upland  CA,CA,OLB,0.9321,4,Oregon100%,Oregon,Pac-12,Not Committed,,LB
2021_217,156,Kaine Williams,74,205,Marrero  LA,LA,S,0.932,4,Alabama,Alabama,SEC,Committed,Alabama,DB
2021_313,157,Riley Mahlman,79,270,Lakeville  MN,MN,OT,0.9319,4,Wisconsin,Wisconsin,Big Ten,Committed,Wisconsin,OL
2021_248,158,Laurence Seymore,73.5,293,Miami  FL,FL,OG,0.9311,4,Miami,Miami,ACC,Committed,Miami,OL
2021_49,159,Cane Berrong,76,230,Hartwell  GA,GA,TE,0.9311,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,TE
2021_154,160,Jager Burton,76,271,Lexington  KY,KY,OG,0.9308,4,Ohio State75%,Ohio State,Big Ten,Not Committed,,OL
2021_120,161,Ethan Downs,76,240,Weatherford  OK,OK,WDE,0.9307,4,Oklahoma,Oklahoma,Big 12,Committed,Oklahoma,DL
2021_309,162,Raneiria Dillworth,74,185,Kernersville  NC,NC,OLB,0.93,4,North Carolina,North Carolina,ACC,Committed,North Carolina,LB
2021_69,163,Corey Kiner,70,205,Cincinnati  OH,OH,RB,0.9297,4,LSU,LSU,SEC,Committed,LSU,RB
2021_363,164,Tyleik Williams,75.5,317,Manassas  VA,VA,DT,0.9287,4,N/A,N/A,Other,Not Committed,,DL
2021_71,165,Dacari Collins,75.5,200,Atlanta  GA,GA,WR,0.9285,4,Clemson,Clemson,ACC,Committed,Clemson,WR
2021_70,166,Cristian Dixon,74,187,Santa Ana  CA,CA,WR,0.9275,4,Michigan100%,Michigan,Big Ten,Not Committed,,WR
2021_160,167,Jake Rubley,75,205,Littleton  CO,CO,PRO,0.9272,4,Kansas State,Kansas State,Big 12,Committed,Kansas State,QB
2021_82,168,DeAndre Boykins,71,200,Concord  NC,NC,ATH,0.9272,4,North Carolina,North Carolina,ACC,Committed,North Carolina,ATH
2021_50,169,Carlos Del Rio,74.5,201,Loganville  GA,GA,PRO,0.9269,4,Florida,Florida,SEC,Committed,Florida,QB
2021_116,170,Elijah Jeudy,75,246,Philadelphia  PA,PA,WDE,0.9267,4,Georgia,Georgia,SEC,Committed,Georgia,DL
2021_143,171,Ishmael Ibraheem,73,175,Dallas  TX,TX,CB,0.9266,4,Texas100%,Texas,Big 12,Not Committed,,DB
2021_223,172,KaTron Evans,76,320,Baltimore  MD,MD,DT,0.9266,4,Tennessee,Tennessee,SEC,Committed,Tennessee,DL
2021_186,173,JD Coffey,72.5,180,Kennedale  TX,TX,S,0.9264,4,Texas100%,Texas,Big 12,Not Committed,,DB
2021_29,174,Bralon Brown,75,190,Fort Lauderdale  FL,FL,WR,0.9264,4,Ole Miss,Ole Miss,SEC,Committed,Ole Miss,WR
2021_273,175,Micah Crowell,74,205,Kernersville  NC,NC,WR,0.9263,4,NC State,NC State,Other,Committed,NC State,WR
2021_40,176,Byron Cardwell,72,193,San Diego  CA,CA,RB,0.9259,4,N/A,N/A,Other,Not Committed,,RB
2021_170,177,Jaquez Smith,73,190,Atlanta  GA,GA,WR,0.9258,4,N/A,N/A,Other,Not Committed,,WR
2021_151,178,Jacolby George,71,161,Fort Lauderdale  FL,FL,WR,0.9256,4,Miami,Miami,ACC,Committed,Miami,WR
2021_114,179,Eli Stowers,76,215,Denton  TX,TX,DUAL,0.9254,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,QB
2021_61,180,Clinton Burton Jr.,71,170,Baltimore  MD,MD,CB,0.9253,4,Florida,Florida,SEC,Committed,Florida,DB
2021_380,181,Yousef Mugharbil,76.5,304,Murphy  NC,NC,OG,0.9252,4,N/A,N/A,Other,Not Committed,,OL
2021_178,182,Jayden Thomas,73,198,Atlanta  GA,GA,WR,0.925,4,N/A,N/A,Other,Not Committed,,WR
2021_355,183,Trevonte Rucker,71.5,157,Ocala  FL,FL,WR,0.925,4,Florida,Florida,SEC,Committed,Florida,WR
2021_88,184,Denzel Burke,72,189,Scottsdale  AZ,AZ,ATH,0.925,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,ATH
2021_6,185,Ahmari Harvey,70.5,171,Tallahassee  FL,FL,S,0.9249,4,Florida State56%,Florida State,ACC,Not Committed,,DB
2021_262,186,Marcus Bradley,75,270,Gaithersburg  MD,MD,DT,0.9241,4,Maryland,Maryland,Big Ten,Committed,Maryland,DL
2021_135,187,Greg Penn III,73,225,Hyattsville  MD,MD,ILB,0.924,4,Maryland100%,Maryland,Big Ten,Not Committed,,LB
2021_8,188,AJ Green,71,194,Tulsa  OK,OK,CB,0.9239,4,Arkansas,Arkansas,SEC,Committed,Arkansas,DB
2021_176,189,Jay Toia,74,315,Simi Valley  CA,CA,DT,0.9236,4,USC,USC,Pac-12,Committed,USC,DL
2021_341,190,Theodore Knox,70,167,The Woodlands  TX,TX,WR,0.9236,4,Mississippi State100%,Mississippi State,SEC,Not Committed,,WR
2021_338,191,Terrion Arnold,74,187,Tallahassee  FL,FL,S,0.9234,4,Alabama67%,Alabama,SEC,Not Committed,,DB
2021_165,192,James Brockermeyer,75,273,Fort Worth  TX,TX,OC,0.923,4,Alabama72%,Alabama,SEC,Not Committed,,OL
2021_310,193,Rayshaun Benny,77,275,Oak Park  MI,MI,OT,0.9227,4,N/A,N/A,Other,Not Committed,,OL
2021_46,194,Calen Bullock,74,175,Pasadena  CA,CA,ATH,0.9227,4,USC,USC,Pac-12,Committed,USC,ATH
2021_139,195,Hunter Wohler,73,190,Muskego  WI,WI,S,0.9219,4,Wisconsin,Wisconsin,Big Ten,Committed,Wisconsin,DB
2021_299,196,Power Echols,73,206,Charlotte  NC,NC,ILB,0.9219,4,North Carolina,North Carolina,ACC,Committed,North Carolina,LB
